,년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용,승용합계,승합합계,화물합계,특수합계,등록합계
0,202111,소계,2923,3257,13077,11295,2729,10979,713,12373,11410,10020,4989,1015,19257,25003,24496,16024,84780
1,202112,소계,2911,3294,12382,10058,2726,14044,734,11931,11359,10564,4982,1035,18587,26828,24024,16581,86020
2,202201,소계,2917,3296,12772,12496,3490,9074,804,12497,11162,10074,4754,1292,18985,25060,24463,16120,84628
3,202202,소계,2909,3295,13797,11011,3757,8896,122,12825,10555,11097,4080,1480,20001,23664,23502,16657,83824
4,202203,소계,2913,3299,13676,8822,3577,12728,101,13374,10571,10743,3993,1476,19888,25127,24046,16212,85273
5,202204,소계,2891,3306,11865,9186,3349,12469,109,12954,10573,10405,3905,1468,18062,25004,23636,15778,82480
6,202205,소계,2897,3256,11472,9600,3434,10379,101,12654,10614,10150,3872,1466,17625,23413,23369,15488,79895
7,202206,소계,2901,3257,11686,9083,2777,12671,67,12317,10725,9935,3986,1239,17844,24531,23109,15160,80644
8,202207,소계,2902,3260,12583,9151,2744,12239,826,11238,11332,9409,4553,1023,18745,24134,23396,14985,81260
9,202208,소계,3033,3090,11063,9835,2745,11372,762,10881,11360,9219,4447,1015,17186,23952,23003,14681,78822
10,202209,소계,3036,3085,12786,9133,2747,11350,762,10517,11363,8953,4372,1016,18907,23230,22642,14341,79120
11,202210,소계,3058,3114,13326,10064,2747,11912,763,10195,11341,8668,4318,1023,19498,24723,22299,14009,80529
12,202211,소계,3038,3118,12542,10599,2749,12701,715,10900,11348,8466,4195,1016,18698,26049,22963,13677,81387
13,202212,소계,3068,3285,12512,10431,2749,14730,723,11465,11340,8098,4118,1011,18865,27910,23528,13227,83530
14,202301,소계,3029,3298,16190,9820,2755,10782,738,11212,11334,7822,4122,1011,22517,23357,23284,12955,82113
15,202302,소계,2984,3305,13866,10098,2753,11741,742,10817,11310,10483,4029,1009,20155,24592,22869,15521,83137
16,202303,소계,2977,3356,13680,10810,2756,12314,722,12314,11328,10054,3967,1008,20013,25880,24364,15029,85286
17,202304,소계,2988,3343,11859,8619,2756,13310,634,11905,11283,9732,4796,1005,18190,24685,23822,15533,82230
18,202305,소계,2987,3393,12721,9455,2756,13040,633,11455,11251,10391,4717,1013,19101,25251,23339,16121,83812
19,202306,소계,3057,3248,13551,9286,2761,10665,611,11148,11238,10133,4651,1009,19856,22712,22997,15793,81358
20,202307,소계,3075,3180,14335,9343,2762,10712,615,10809,11229,10809,4625,1010,20590,22817,22653,16444,82504
21,202308,소계,3077,3113,14352,9746,2761,11092,618,10377,11157,11293,4560,1007,20542,23599,22152,16860,83153
22,202309,소계,3071,3111,14120,10544,2763,11685,582,10996,11128,10984,5424,1009,20302,24992,22706,17417,85417
23,202310,소계,3077,3114,12150,10923,2761,14115,584,11529,11062,10570,5316,1010,18341,27799,23175,16896,86211
24,202311,소계,3066,3114,12579,10070,2763,12702,584,11116,11022,10189,5245,1015,18759,25535,22722,16449,83465
25,202312,소계,3060,3178,13714,10344,2763,13116,595,10887,10994,11035,5160,1014,19952,26223,22476,17209,85860
26,202401,소계,3050,3250,12666,10934,2764,12742,595,9580,11031,10789,5072,1015,18966,26440,21206,16876,83488
27,202402,소계,3040,3254,12283,10930,2764,12324,595,10355,11037,11615,5019,1011,18577,26018,21987,17645,84227
28,202403,소계,3033,3271,11975,10299,2764,11386,596,10746,11017,12048,4937,1008,18279,24449,22359,17993,83080
29,202404,소계,3040,3273,12215,11787,2763,12054,595,10359,11070,12767,4849,1006,18528,26604,22024,18622,85778
30,202405,소계,3078,3273,14287,11291,2762,13671,594,9907,11078,13383,4813,1001,20638,27724,21579,19197,89138
31,202406,소계,3059,3228,14084,11369,2765,12421,593,10498,11044,13012,5734,997,20371,26555,22135,19743,88804
32,202407,소계,3089,3257,12582,11223,2767,9926,587,13816,10942,13414,5585,990,18928,23916,25345,19989,88178
33,202408,소계,3096,3257,11190,11206,2765,10503,593,14367,10917,13018,5518,991,17543,24474,25877,19527,87421
34,202409,소계,3103,3244,11371,9751,2766,10237,569,13902,10892,12620,5395,993,17718,22754,25363,19008,84843
35,202410,소계,3100,3236,13282,11320,2761,12641,564,14449,10835,12153,5295,983,19618,26722,25848,18431,90619
36,202411,소계,3093,3238,12787,11671,2763,11447,568,14038,10864,11829,5224,980,19118,25881,25470,18033,88502
37,202412,소계,3084,3253,11631,11221,2762,12805,560,13690,10801,12490,5163,981,17968,26788,25051,18634,88441
38,202501,소계,3074,3304,9298,10035,2762,13365,550,13486,10743,13259,5096,978,15676,26162,24779,19333,85950
39,202502,소계,3077,3301,12070,10833,2761,12986,549,13092,10688,12891,5012,980,18448,26580,24329,18883,88240
40,202503,소계,3079,3298,12461,12291,2762,12761,529,14565,10673,12485,4831,982,18838,27814,25767,18298,90717
41,202504,소계,3112,3300,11496,10679,2760,14168,529,15103,10669,12089,4755,981,17908,27607,26301,17825,89641
42,202505,소계,3095,3332,10549,10807,2759,14311,529,14719,10658,11759,4695,979,16976,27877,25906,17433,88192
43,202506,소계,3102,3360,12715,12001,2759,15627,530,14242,10694,11396,4611,980,19177,30387,25466,16987,92017
44,202507,소계,3147,3316,11801,11340,2763,10024,529,13901,10641,11025,4649,980,18264,24127,25071,16654,84116
45,202508,소계,3127,3324,10467,10884,2759,13133,526,14636,10632,11782,4626,982,16918,26776,25794,17390,86878
46,202509,소계,3107,3301,10134,10676,2758,13577,480,15111,10617,11325,5474,982,16542,27011,26208,17781,87542
47,202510,소계,3105,3294,11634,11194,2756,13593,490,14671,10611,10998,5391,981,18033,27543,25772,17370,88718
48,202511,소계,3097,3279,11709,10477,2757,12940,489,14306,10583,10667,5330,974,18085,26174,25378,16971,86608
