district,year,total,bus,subway,taxi,population,car_count,car_diff_year
강남구,2021,263148318,93477395,139523472,30147451,"533,042",235796,602
강남구,2022,293965811,103379977,161272441,29313393,"529,102",240480,4684
강남구,2023,306070238,104997484,175606259,25466495,"544,873",250445,9965
강남구,2024,322927844,111266706,179953430,31707708,"557,345",256099,5654
강동구,2021,87515237,32292610,45671791,9550836,"462,664",152003,6877
강동구,2022,93924693,35194304,49416957,9313432,"460,067",151875,-128
강동구,2023,94011660,35282772,51997375,6731513,"459,167",153678,1803
강동구,2024,102160042,38033929,55794880,8331233,"476,942",154522,844
강북구,2021,88255787,54255008,28068271,5932508,"299,182",75570,-511
강북구,2022,94283492,57994006,30445153,5844333,"293,660",75148,-422
강북구,2023,95421485,59000850,32266378,4154257,"288,113",75166,18
강북구,2024,97599102,60149464,32634332,4815306,"283,597",74169,-997
강서구,2021,125896852,52107668,62794479,10994705,"574,315",204246,-97
강서구,2022,136615826,55871596,69470943,11273287,"569,166",206352,2106
강서구,2023,141725103,57398643,75470439,8856021,"563,058",206104,-248
강서구,2024,147998353,58712738,78419782,10865833,"556,171",204600,-1504
관악구,2021,166188364,81960533,75428105,8799726,"485,699",118943,-509
관악구,2022,183319578,90076319,84916033,8327226,"486,752",118148,-795
관악구,2023,186640714,89284855,90767121,6588738,"481,956",118886,738
관악구,2024,191528043,91648849,92102308,7776886,"477,812",117936,-950
광진구,2021,95731490,29859594,56633974,9237922,"339,996",98658,-114
광진구,2022,107246102,33234902,64860255,9150945,"337,416",99126,468
광진구,2023,111528164,34809718,69506034,7212412,"335,554",97936,-1190
광진구,2024,115686552,36851896,70329994,8504662,"331,963",97218,-718
구로구,2021,123387880,60237240,56036771,7113869,"396,754",144667,906
구로구,2022,127504110,61042525,59580422,6881163,"395,315",146040,1373
구로구,2023,131422494,62850315,63065182,5506997,"392,405",148719,2679
구로구,2024,134451191,64242239,63648432,6560520,"388,169",147678,-1041
금천구,2021,66752284,42139004,19830665,4782615,"230,811",88945,1497
금천구,2022,70056965,45064854,20465940,4526171,"229,642",90508,1563
금천구,2023,71105776,46171676,21372019,3562081,"227,481",92223,1715
금천구,2024,71518788,45829736,21506116,4182936,"225,159",91975,-248
노원구,2021,108740071,46165813,52909026,9665232,"510,956",152701,533
노원구,2022,117486557,50579231,57264326,9643000,"503,734",152305,-396
노원구,2023,119823856,51726460,61347921,6749475,"498,213",152633,328
노원구,2024,127177261,53541282,65760380,7875599,"491,247",152155,-478
도봉구,2021,67739876,37019485,25198610,5521781,"317,366",95462,-389
도봉구,2022,71242195,38900295,26987249,5354651,"311,694",95573,111
도봉구,2023,71661572,39783107,28321911,3556554,"306,948",95623,50
도봉구,2024,74280229,40702065,29260920,4317244,"303,228",94946,-677
동대문구,2021,97942712,57791744,31218408,8932560,"337,400",98170,352
동대문구,2022,106610793,63284045,34854710,8472038,"336,644",98574,404
동대문구,2023,111611079,67437050,37821239,6352790,"341,149",99947,1373
동대문구,2024,117287598,70686857,39182683,7418058,"338,735",102749,2802
동작구,2021,109377406,58188663,45706535,5482208,"385,483",105722,653
동작구,2022,119187672,62588194,51528199,5071279,"380,596",106263,541
동작구,2023,122261047,62446828,55771179,4043040,"378,769",106150,-113
동작구,2024,127517515,65399210,57208566,4909739,"375,799",106362,212
마포구,2021,148131112,56944960,78992624,12193528,"368,905",119380,1069
마포구,2022,169324041,64510577,91948749,12864715,"364,638",121250,1870
마포구,2023,182982275,68374401,103281308,11326566,"363,697",122415,1165
마포구,2024,193806111,71954538,107502551,14349022,"361,417",121943,-472
서대문구,2021,95958124,60695355,28742860,6519909,"304,819",89578,1541
서대문구,2022,107163842,68059904,32850877,6253061,"306,337",89435,-143
서대문구,2023,113855153,72292718,36582300,4980135,"306,231",91862,2427
서대문구,2024,118572562,75152493,37369540,6050529,"302,853",91650,-212
서초구,2021,191318304,72872287,104225039,14220978,"412,279",178778,-2235
서초구,2022,209014453,78195534,117324071,13494848,"404,325",176639,-2139
서초구,2023,217494174,78646999,127350104,11497071,"407,664",176137,-502
서초구,2024,225955483,81739104,130172545,14043834,"408,376",176628,491
성동구,2021,96087425,31552270,56470250,8064905,"285,990",106435,905
성동구,2022,106165626,34157923,64269063,7738640,"281,000",106035,-400
성동구,2023,111717923,35237767,70179191,6300965,"277,361",104782,-1253
성동구,2024,118721700,37079391,73862010,7780299,"273,669",104641,-141
성북구,2021,112791260,67929727,37822410,7039123,"430,528",120909,1727
성북구,2022,126169567,76331592,43239120,6598855,"430,397",122016,1107
성북구,2023,131105290,79361062,46809536,4934692,"425,602",122811,795
성북구,2024,135254268,81559692,47802034,5892542,"421,560",122135,-676
송파구,2021,166423657,60517668,89719740,16186249,"658,338",245565,4591
송파구,2022,187955776,67415209,104523594,16016973,"658,801",248750,3185
송파구,2023,197679387,69881907,115250643,12546837,"654,166",245597,-3153
송파구,2024,208052956,71926631,120662352,15463973,"650,110",244079,-1518
양천구,2021,83179122,46183700,30359568,6635854,"447,302",151626,2268
양천구,2022,89458448,49938837,33236941,6282670,"440,881",151251,-375
양천구,2023,91670267,51701808,35246960,4721499,"436,028",151668,417
양천구,2024,94359714,52935254,35719191,5705269,"430,976",151189,-479
영등포구,2021,157499505,61964048,81402306,14133151,"376,837",146625,3861
영등포구,2022,174830984,69289958,91890433,13650593,"375,675",145946,-679
영등포구,2023,184031098,72387873,100244057,11399168,"374,794",144662,-1284
영등포구,2024,192291682,74379751,103831744,14080187,"373,773",144665,3
용산구,2021,87031985,43905878,32335411,10790696,"222,953",79486,3005
용산구,2022,100875869,50537978,39369572,10968319,"218,650",79420,-66
용산구,2023,107760931,54008803,44222766,9529362,"213,151",75436,-3984
용산구,2024,115155774,56796253,45863450,12496071,"203,854",74001,-1435
은평구,2021,110416503,57517380,45319869,7579254,"473,307",132052,2789
은평구,2022,117881189,61790167,48938669,7152353,"466,746",133291,1239
은평구,2023,120374400,63338467,51822570,5213363,"466,770",133469,178
은평구,2024,124945537,65746264,52739892,6459381,"460,919",135047,1578
종로구,2021,141759969,57821751,75771163,8167055,"144,683",50049,-11
종로구,2022,164935619,67454849,89319867,8160903,"141,379",50832,783
종로구,2023,178567702,70681425,100748476,7137801,"139,417",51000,168
종로구,2024,186553232,74208386,103323781,9021065,"138,336",50482,-518
중구,2021,149856039,39190006,100938579,9727454,"122,499",53107,1947
중구,2022,176154824,45724150,120765784,9664890,"120,437",60081,6974
중구,2023,202324327,48721660,144615589,8987078,"121,312",57666,-2415
중구,2024,216622466,52435264,152294765,11892437,"120,544",54332,-3334
중랑구,2021,79293944,41568031,29571182,8154731,"387,350",114237,2120
중랑구,2022,85919590,46033124,31943438,7943028,"385,318",114961,724
중랑구,2023,88060625,48356010,33835684,5868931,"382,155",116523,1562
중랑구,2024,90693667,49857596,34271820,6564251,"379,274",116575,52
